Timestamp,Packet Type,Channel,Message Type,MMSI,Navigation Status,Repeat Indicator,IMO,ROT,SOG,COG,Position Accuracy,Longitude,Latitude,Region,Vessel name,Ship type,True Heading,Radio status,Destination,Maneuver Indicator,Draught,Position fix type,Call sign,ETA,A,B,C,D,Prop message 1,Prop message 2,Prop message 3,Prop message 4,Prop message 5
17:51.0,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.5,1728,>10m,152.1202083,-10.16545167,QH69,NaN,Not available (default),170,81925,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
17:51.3,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.1353817,-10.59331,QH69,NaN,Not available (default),,114692,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:12,0,0,0,0,,,,,
17:52.5,BSADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,STX564855481005,71220,V,0,I
17:52.7,BSVDM,A,1,431697000,Underway using engine,0,0,0,11.3,3501,>10m,152.115255,-10.51175167,QH69,NaN,Not available (default),350,2200,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
17:53.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
17:55.0,BSVDM,B,1,538009733,Underway using engine,0,0,1,16.4,1400,>10m,151.9924083,-11.21755833,QH58,NaN,Not available (default),139,81928,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
17:55.9,BSVDM,B,1,477151600,Underway using engine,0,0,0,14.5,1320,>10m,151.8351267,-11.41123333,QH58,NaN,Not available (default),129,2257,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:00.5,BSVDM,B,1,353246000,Underway using engine,0,0,0,12.5,1726,>10m,152.1202783,-10.16493667,QH69,NaN,Not available (default),170,2289,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:01.2,BSVDO,B,4,2579991,NaN,0,0,,,NaN,NaN,152.1353833,-10.59330833,QH69,NaN,Not available (default),,114692,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:12,0,0,0,0,,,,,
18:01.8,BSVDM,A,3,538009733,Underway using engine,0,0,1,16.4,1401,>10m,151.992755,-11.21714833,QH58,NaN,Not available (default),139,24355,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:02.5,BSVDM,B,1,431697000,Underway using engine,0,0,0,11.3,3504,>10m,152.1151633,-10.51228,QH69,NaN,Not available (default),350,20016,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:03.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
18:08.2,BSVDM,B,1,477151600,Underway using engine,0,0,0,14.5,1322,>10m,151.83573,-11.41068,QH58,NaN,Not available (default),129,49158,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:11.2,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.1353817,-10.59330667,QH69,NaN,Not available (default),,114692,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:12,0,0,0,0,,,,,
18:11.3,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.5,1725,>10m,152.1203633,-10.16435667,QH69,NaN,Not available (default),170,114693,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:12.8,BSVDM,A,1,431697000,Underway using engine,0,0,0,11.3,3502,>10m,152.1150667,-10.51281167,QH69,NaN,Not available (default),350,67101,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:13.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
18:13.8,BSVDM,A,1,538009733,Underway using engine,0,0,0,16.4,1400,>10m,151.9933467,-11.216445,QH58,NaN,Not available (default),139,20016,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:14.0,BSVDM,A,1,477151600,Underway using engine,0,0,0,14.5,1323,>10m,151.8359817,-11.41045333,QH58,NaN,Not available (default),129,34380,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:21.2,BSVDO,B,4,2579991,NaN,0,0,,,NaN,NaN,152.1353817,-10.59330833,QH69,NaN,Not available (default),,114692,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:12,0,0,0,0,,,,,
18:21.3,BSVDM,B,1,431697000,Underway using engine,0,0,0,11.3,3497,>10m,152.114975,-10.51328333,QH69,NaN,Not available (default),351,20016,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:22.0,BSVDM,B,1,353246000,Underway using engine,0,0,0,12.4,1721,>10m,152.1204617,-10.16368333,QH69,NaN,Not available (default),170,81925,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:23.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
18:25.2,BSVDM,A,1,477151600,Underway using engine,0,0,253,14.5,1325,>10m,151.83664,-11.40987,QH58,NaN,Not available (default),129,2264,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:31.2,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.13538,-10.59330667,QH69,NaN,Not available (default),,98314,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:12,0,0,0,0,,,,,
18:31.4,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.5,1724,>10m,152.1205283,-10.16317667,QH69,NaN,Not available (default),170,81925,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:31.6,BSVDM,A,1,431697000,Underway using engine,0,0,0,11.3,3501,>10m,152.1148783,-10.51385667,QH69,NaN,Not available (default),351,32791,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:33.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
18:37.4,BSVDM,A,1,477151600,Underway using engine,0,0,252,14.5,1324,>10m,151.8372467,-11.409325,QH58,NaN,Not available (default),129,49158,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:40.9,BSVDM,B,1,353246000,Underway using engine,0,0,0,12.5,1724,>10m,152.120615,-10.16258167,QH69,NaN,Not available (default),170,20020,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:41.2,BSVDO,B,4,2579991,NaN,0,0,,,NaN,NaN,152.1353817,-10.593305,QH69,NaN,Not available (default),,98689,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:13,0,0,0,0,,,,,
18:43.1,BSVDM,B,1,431697000,Underway using engine,0,0,0,11.3,3506,>10m,152.114785,-10.51442833,QH69,NaN,Not available (default),350,2255,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:43.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
18:44.5,PSTXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,STXAIS,7004002,BS6XX 2.00.07,4742353,0x0
18:49.8,BSVDM,A,1,477151600,Underway using engine,0,0,251,14.5,1322,>10m,151.8378467,-11.408775,QH58,NaN,Not available (default),129,2253,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:51.2,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.5,1724,>10m,152.120695,-10.16199333,QH69,NaN,Not available (default),170,66294,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:51.3,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.1353817,-10.59330167,QH69,NaN,Not available (default),,99064,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:13,0,0,0,0,,,,,
18:51.3,BSVDM,A,1,431697000,Underway using engine,0,0,0,11.3,3502,>10m,152.11471,-10.51484167,QH69,NaN,Not available (default),350,49163,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
18:52.5,BSADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,STX564855481005,71320,V,0,I
18:53.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
19:01.2,BSVDO,B,4,2579991,NaN,0,0,,,NaN,NaN,152.1353833,-10.59329833,QH69,NaN,Not available (default),,99439,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:13,0,0,0,0,,,,,
19:01.5,BSVDM,B,1,353246000,Underway using engine,0,0,0,12.5,1722,>10m,152.120775,-10.16141333,QH69,NaN,Not available (default),170,114693,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
19:01.8,BSVDM,A,1,538009733,Underway using engine,0,0,0,16.4,1402,>10m,151.9957333,-11.213635,QH58,NaN,Not available (default),139,20020,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
19:02.5,BSVDM,B,1,431697000,Underway using engine,0,0,0,11.3,3501,>10m,152.11461,-10.51540833,QH69,NaN,Not available (default),350,2256,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
19:03.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
19:11.2,BSVDO,A,4,2579991,NaN,0,0,,,NaN,NaN,152.135385,-10.59329833,QH69,NaN,Not available (default),,99814,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:13,0,0,0,0,,,,,
19:11.3,BSVDM,A,1,353246000,Underway using engine,0,0,0,12.5,1722,>10m,152.120855,-10.16081833,QH69,NaN,Not available (default),170,99816,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
19:12.8,BSVDM,A,1,431697000,Underway using engine,0,0,0,11.3,3502,>10m,152.1145267,-10.51592333,QH69,NaN,Not available (default),351,49162,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
19:13.5,PSTXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,2,0,0,1
19:13.8,BSVDM,A,1,538009733,Underway using engine,0,0,251,16.4,1402,>10m,151.9963267,-11.21292833,QH58,NaN,Not available (default),139,2242,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
19:21.2,BSVDO,B,4,2579991,NaN,0,0,,,NaN,NaN,152.1353817,-10.5933,QH69,NaN,Not available (default),,100189,NaN,Not available (default),0,Internal GNSS,0,10/28/2023 7:13,0,0,0,0,,,,,
19:21.3,BSVDM,B,1,431697000,Underway using engine,0,0,0,11.3,3500,>10m,152.11444,-10.51639333,QH69,NaN,Not available (default),351,2267,NaN,Not available (default),0,Undefined (default),0,,0,0,0,0,,,,,
